INSTNM,CITY,STABBR,ZIP,INSTURL
Argosy University-Hawaii,Honolulu,HI,96813,www.argosy.edu/hawaii/
Baptist Theological Seminary at Richmond,Henrico,VA,23228,www.btsr.edu
Kaplan College-Modesto,Salida,CA,95368, Accrediting Council for Independent Colleges and Schools
Kaplan University-Des Moines Campus,Urbandale,IA,50323, North Central Association of Colleges and Schools The Higher Learning Commission
Hairmasters Institute of Cosmetology,Bloomington,IL,61701,www.hair-masters.com
Hair Arts Academy,Bloomington,IN,47404,www.thehairartsacademy.com
Pinnacle Career Institute-Lawrence,Lawrence,KS,66046-2703,www.pcitraining.edu
Interactive College of Technology-Newport,Newport,KY,41071,www.ict.edu
Career Technical College-Monroe,Monroe,LA,71201, Accrediting Council for Independent Colleges and Schools 
Empire Beauty School-Lowell,Lowell,MA,1852,www.empire.edu
Ross Medical Education Center-Taylor,Taylor,MI,48180, Accrediting Commission of Career Schools and Colleges
McNally Smith College of Music,Saint Paul,MN,55101-2220,www.mcnallysmith.edu
Allied Health Careers,Austin,TX,78735,alliedhealthcareers.net
National Tractor Trailer School Inc-Liverpool,Liverpool,NY,13088-0208,www.ntts.edu
Interactive Learning Systems-Houston,Houston,TX,77081-3007,www.ict.edu
Star Career Academy?Brick,Brick,NJ,08701-7182,www.starcareeracademy.com
New Castle Beauty Academy,New Castle,PA,16101,beautyacademies.net
NorthWest Arkansas Community College,Bentonville,AR,72712-5091,www.nwacc.edu
Madera Beauty College,Madera,CA,93637,www.maderabeautycollege.edu
Colorado Heights University,Denver,CO,80236-2711,WWW.CHU.EDU
Brewster Technical Center,Tampa,FL,33602-2196,www.brewster.edu
Hodges University,Naples,FL,34119-7932,www.hodges.edu
Everest University-Lakeland,Lakeland,FL,33801,www.everest.edu/campus/lakeland
Argosy University-Atlanta,Atlanta,GA,30328,argosy.edu/
University of St Augustine for Health Sciences,San Marcos,CA,92069, Western Association of Schools and Colleges Senior College and University Commission
Capital Area School of Practical Nursing,Springfield,IL,62712-3803,www.caspn.edu
Hair Professionals Career College,Palos Hills,IL,60465,www.hairpros.edu
Alexandria School of Scientific Therapeutics,Alexandria,IN,46001-0287,www.assti.com
Empire Beauty School-Bloomfield,Bloomfield,NJ,7003,www.empire.edu
Southwest Technology Center,Altus,OK,73521,www.swtech.edu
Western Area Career and Technology Center,Canonsburg,PA,15317,www.wactc.net
Daymar Institute-Clarksville,Clarksville,TN,37040,www.daymarinstitute.edu
Nossi College of Art,Madison,TN,37115,www.nossi.edu
Seguin Beauty School-New Braunfels,New Braunfels,TX,78130,www.seguinbeautyschool.net
ITT Technical Institute-Norfolk,Norfolk,VA,23513,www.itt-tech.edu
Pima Medical Institute-Seattle,Seattle,WA,98115,pmi.edu
Mineral County Vocational Technical Center,Keyser,WV,26726,NULL
Hypnosis Motivation Institute,Tarzana,CA,91356-4159, Distance Education Accrediting Commission
Los Angeles ORT College-Los Angeles Campus,Los Angeles,CA,90048,www.laort.edu
Everest College-West Los Angeles,Los Angeles,CA,90034-3169,www.everest.edu/campus/west_los_angeles
Thanh Le College School of Cosmetology,Garden Grove,CA,92840,WWW.thanhlecollege.com
Southeastern Technical College,Vidalia,GA,30474, Southern Association of Colleges and Schools Commission on Colleges
Massachusetts School of Law,Andover,MA,1810,www.mslaw.edu
ITT Technical Institute-Albuquerque,Albuquerque,NM,87109,www.itt-tech.edu
Community Services Division-Alliance City,Alliance,OH,44601,www.accrtw.org
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,Orlando,FL,32837,www.uti.edu/
D G Erwin Technical Center,Tampa,FL,33610-8255,erwin.edu
Rosel School of Cosmetology,Chicago,IL,60659,www.roselschool.org
Worsham College of Mortuary Science,Wheeling,IL,60090-2646,WWW.WORSHAMCOLLEGE.COM
Bryan University,Springfield,MO,65804,www.bryanu.edu
Oregon College of Oriental Medicine,Portland,OR,97209,www.ocom.edu
Central Pennsylvania Institute of Science and Technology,Pleasant Gap,PA,16823,www.cpi.edu
Northwest Educational Center,Houston,TX,77092,northwestedcenter.com
Sebring Career Schools-Houston,Houston,TX,77083,sebringcareerschools.com
PCI Health Training Center,Dallas,TX,75247-4720,www.pcihealth.com
Windham Memorial Hospital-Radiologic Technology Program,Willimantic,CT,06226-2040,www.wcmh.org
Bethel Seminary of the East,Landover,MD,20785, North Central Association of Colleges and Schools The Higher Learning Commission
Miami-Jacobs Career College-Columbus,Columbus,OH,43215,www.miamijacobs.edu
Bryant & Stratton College-Eastlake,Eastlake,OH,44095,www.bryantstratton.edu
Hamrick School,Medina,OH,44256,hamrickschool.edu
Alabama State College of Barber Styling,Gardendale,AL,35071,www.ascbs.edu
Fortis College-Mobile,Mobile,AL,36609,www.fortiscollege.edu
Arkansas Beauty School,Conway,AR,72032,arkansasbeautyschoolconway.com
Everest College-Ontario,Ontario,CA,91761-2338,www.everest.edu/campus/ontario
Downey Adult School,Downey,CA,90241,www.das.edu
Heald College-Stockton,Stockton,CA,95210,www.heald.edu
Heald College-Hayward,Hayward,CA,94545,www.Heald.edu
CRU Institute,Garden Grove,CA,92845-4321,www.cruinstitute.com
Modern Technology School,Fountain Valley,CA,92708-9821,www.mtschool.edu
National Career Education,Rancho Cordova,CA,95670,www.nceschool.com
Everest College-Anaheim,Anaheim,CA,92801-5229,www.everest.edu/campus/anaheim
Thuy Princess Beauty College,Pomona,CA,91766,thuyprincessbeautycollege.com
North-West College-Glendale,Glendale,CA,91203,www.north-westcollege.edu
Everest College-City of Industry,City of Industry,CA,91746-1023,www.everest.edu/campus/city_of_industry
Fremont College,Cerritos,CA,90703, Accrediting Council for Continuing Education and Training
Fremont College,Los Angeles,CA,900102101, Accrediting Council for Continuing Education and Training
Pomona Unified School District Adult and Career Education,Pomona,CA,91766-1233,www.pusd.org/ace
University of Phoenix-Online Campus,Phoenix,AZ,85034-7209,www.phoenix.edu/
University of Phoenix-San Diego Campus,San Diego,CA,92123-2658,www.phoenix.edu
Universal College of Beauty Inc-Los Angeles 2,Los Angeles,CA,90008,ucb-la.com
IBMC College,Fort Collins,CO,80525,www.ibmc.edu
Xenon International Academy-Denver,Aurora,CO,80014,www.xenonacademy.net/index.html
Academy of Cosmetology,Merritt Island,FL,32953,FLORIDACOSMETOLOGYSCHOOLS.COM
ITT Technical Institute-Lake Mary,Lake Mary,FL,32746,www.itt-tech.edu
Sunstate Academy,Clearwater,FL,33765-2702,www.sunstate.edu
Heritage Institute-Jacksonville,Jacksonville,FL,32216,www.heritage-education.com
Fortis College-Smyrna,Smyrna,GA,30080-7630,Fortis.edu
Remington College-Honolulu Campus,Honolulu,HI,96813-2811,www.remingtoncollege.edu/honolulu-hawaii-colleges-career-schools
Vatterott College-Des Moines,Des Moines,IA,50321,www.vatterott.edu
Brown Mackie College-Quad Cities,Bettendorf,IA,52722, Accrediting Council for Independent Colleges and Schools
Pivot Point Academy-Bloomingdale,Bloomingdale,IL,60108-0000,www.pivotpoint.edu
Xenon International Academy-Kansas City,Olathe,KS,66061,xenonacademy.net
Diesel Driving Academy-Baton Rouge,Baton Rouge,LA,70815,www.dda.edu
Jonesville Beauty School,Vidalia,LA,71373-3358,jonesvillebeautyacademy.com
New England Hair Academy,Malden,MA,2148,www.newenglandhairacademy.com
Rob Roy Academy-Worcester,Worcester,MA,1609,www.rob-roy.com
Rob Roy Academy - Woonsocket,Woonsocket,RI,28953210,http://www.rob-roy.com
Upper Cape Cod Regional Technical School,Bourne,MA,2532,www.uppercapetech.com
All-State Career-Baltimore,Baltimore,MD,21224,www.allstatecareer.edu
New England School of Communications,Bangor,ME,4401,www.nescom.edu
Everest Institute-Kalamazoo,Kalamazoo,MI,49009,www.everest.edu/campus/kalamazoo
Adler Graduate School,Richfield,MN,55423,www.alfredadler.edu
Lebanon Technology and Career Center,Lebanon,MO,65536,www.lebanon.k12.mo.us/ltcc
Academy of Hair Design-Jackson,Jackson,MS,39204,www.academyofhair.com
KC's School of Hair Design,Pontotoc,MS,38863-0000,www.kcsschoolofhair.com
Mitchells Hairstyling Academy-Goldsboro,Goldsboro,NC,27534,www.mitchells.edu
Lincoln Technical Institute-Moorestown,Moorestown,NJ,8057, National Accrediting Commission of Career Arts and Sciences
Monmouth County Vocational School District,Freehold,NJ,07728-5033,www.mcvsd.org
Kaplan College-Las Vegas,Las Vegas,NV,89102, Accrediting Council for Independent Colleges and Schools
Beauty School of Middletown,Middletown,NY,10940,www.thebeautyschoolofmiddletown.com
Bryant & Stratton College-Southtowns,Orchard Park,NY,14127,www.bryantstratton.edu
National Tractor Trailer School Inc-Buffalo,Buffalo,NY,14210-2007,www.ntts.edu
Yeshiva Gedolah Imrei Yosef D'spinka,Brooklyn,NY,11219,NULL
Cleveland Institute of Dental-Medical Assistants-Mentor,Mentor,OH,44060-2035,www.cidma.edu
Cleveland Institute of Dental-Medical Assistants-Lyndhurst,Lyndhurst,OH,44124-2928,www.cidma.edu
Knox County Career Center,Mount Vernon,OH,43050,www.adultedkccc.org
Madison Adult Career Center,Mansfield,OH,44905,www.madisonadultcc.org
Remington College-Cleveland Campus,Cleveland,OH,44125-1957,www.remingtoncollege.edu/cleveland-ohio-career-schools-overview
Brown Mackie College-Findlay,Findlay,OH,45840, Accrediting Council for Independent Colleges and Schools
Toledo Academy of Beauty Culture-East,OREGON,OH,43616,toledoacademyofbeauty.com
